,Question,op1,op2,op3,op4
0,1Instrument used to measure earthquake is known as        ,seismograph,quake meter,barometer,none of the above
1,2Magnitude of energy released by an earthquake is calculated using   ,Earthquake scale,Seismic scale,Richter scale,Temblor scale
2,3The point within the Earth where earthquakes originate is:        ,comma,origin,epicenter,focus
3,4Place directly above focus on Earth's surface is known as           ,strike,comma,epicenter,origin
4,"5In general, the most destructive earthquake waves are the __________ .           ",P waves,S waves,Surface waves,All of the above
5,6P Waves are also said to be __________ waves.        ,push-pull,side-side,up-down,none of the above
6,7P Waves can pass through ______   ,crust and core only,liquids and gases only,"solids, gases, and liquids",none of the above
7,8Earthquakes occur most frequently at        ,plate boundaries,plate surface,ocean beds,all of the above
8,9Amount of energy released by an earthquake is also known as           ,wave,scale,unit,magnitude
9,10How many seismograph stations are needed to locate the epicenter of an earthquake ?           ,2,3,4,5
10,11S Waves can pass through ________.        ,solids only,gases only,liquids only,all of the above
11,12The _____Waves are said to the most damaging to humans.   ,S,P,L,Q
12,13Vibrations radiate from focus in all direction as        ,Seismic waves,Transverse waves,Longitudinal waves,None of the above
13,14The amount of ground displacement in an earthquake is called the _________            ,focus,slip,dip,none of the above
14,15The _____Waves are the slowest.           ,Q,P,S,L
15,16The _____ Waves are the fastest        ,P,L,S,Q
16,17Earthquakes occur when there is a sudden release of stored up energy in Earth's   ,outer core,inner core,upper mantle,none of the above
17,18Body waves consist of the:        ,S waves only,P waves only,Surface waves,Both (A) and (B)
18,19P waves are:           ,tensional surface waves.,transverse surface waves.,compressional body waves.,none of the above
19,20Earthquakes usually occur at boundary of             ,coral plate,crustal plates,volcanic beds,all of the above
20,21Magma which is forced onto Earth's surface is known as        ,Lava,Vent,one,None of the above
21,22Volcanoes that erupt frequently are known as   ,ctive volcanoes,Extinct volcanoes,Instinct volcanoes,ormant volcanoes
22,23Volcanoes that haven't erupted in historic times are known as        ,ctive volcanoes,Instinct volcanoes,Dormant volcanoes,Extinct volcanoes
23,"24Basic lava erupts out of volcano, throwing out mainly           ",CO,dust,ash,all of the above
24,25Shield volcanoes are _____ in size:                     ,Small,Medium,Huge,None of the above
25,26A hole in Earth's crust through which magma comes to Earth's surface is known as            ,Crater,Vent,one,Pipe
26,27Layers of volcanic materials that build up around vent to form a cone-shaped structure are known as,Crater,Vent,one,None of the above
27,28Fluidity of lava is determined by amount of        ,silica,copper,iron,zinc
28,29Top of magma is forced onto Earth's surface is known as        ,Pipe,Cone,Vent,Crater
29,"30Volcanoes that have erupted in historic times and are still likely to erupt, are known as                     ",Instinct volcanoes,Active volcanoes,Dormant volcanoes,Extinct volcanoes
30,31This is the scale used to measure the size of volcanic eruptions        ,Richter Scale,Volcanic Explosivity Index,Volcano Eruptivity Scale,None of the above
31,32Eruptions from composite volcanoes are usually   ,light and less violent,loud but less violent,soft and more violent,loud and more violent
32,33Acid lava flows slowly as it is highly        ,dense,viscous,sensitive,all of the above
33,34Passageway which joins vent to crater of volcano is known as           ,Crater,Vent,one,Pipe
34,35Eruptions of composite volcanoes are loud and violent because that contain           ,basic lava,viscous composite lava,viscous acid lava,none of the above
35,36In which direction the Earth rotates around its axis ?        ,north to south,east to west,west to east,randomly
36,37Mohs scale is used to determine :   ,degree of brightness of a substance,degree of hardness of minerals,degree of viscosity of a liquid,degree of elasticity of a material
37,38In which situation Spring tides can occur :        ,"the moon, sun and the earth are at right angles with the earth at the apex",the moon is farthest from the earth,the sun is closest to the earth,"the moon, the sun and the earth in the same line"
38,39Total surface area of the earth in square kilometer is :           ,510.1 million square kilometer,512.8 million square kilometer,520 million square kilometer,525.7 million square kilometer
39,40The Earth while rotates around the Sun It always keeps its axis pointed towards :           ,the moon,the pole star,Venus,the sun
40,41The greatest amount of isolation is received by which place of Earth's surface ?        ,Tropical rainforest,Tropical deserts,Savanna region,Equatorial region
41,42What is the actual shape of the Earth ?   ,flat,circle,sphere,oblate spheroid
42,43What is the circumference of the Earth in kilometers ?        ,38005 KM,40075 KM,41000 KM,41075 KM
43,44Tides in the sea have stored in them :           ,hydraulic energy,kinetic energy,gravitional potential energy,a combination of all the above three forms of energy
44,45Consider the following statements :                     ,I only,II only,Both I and II,Neither I nor II
45,46Tropic of Cancer does not pass through which one of the following countries ?        ,Bangladesh,China,Nepal,India
46,47The upper part of the mantle upon which the crust of the Earth floats is called :   ,barysphere,mesosphere,Mohorovicic discontinuity,asthenosphere
47,48Who among the following was the first to measure the circumference of the Earth ?        ,Eratosthenes,Aristotle,Hecataeus,Herodotus
48,49The International Date line passes through :           ,Bering strait,Gibraltar strait,Florida strait,Malacca strait
49,50What happens when a ship crosses International Date Line from west to east ?                     ,It gains one day,It loses one day,It loses 10 hrs,It gains half a day
50,51What is the time difference between longitudes ?            ,5 minutes,5 minutes 20 seconds,4 minutes,4 minutes 20 seconds
